secs_into_window,epoch,price
2,1774713902.249,66936.04000000
3,1774713903.485,66936.04000000
4,1774713904.471,66936.04000000
5,1774713905.089,66936.03000000
7,1774713907.562,66926.45000000
8,1774713908.467,66932.69000000
9,1774713909.286,66932.68000000
10,1774713910.539,66932.68000000
11,1774713911.520,66932.69000000
12,1774713912.420,66932.68000000
13,1774713913.021,66932.69000000
14,1774713914.165,66936.03000000
15,1774713915.193,66942.23000000
16,1774713916.129,66942.23000000
17,1774713917.078,66942.23000000
18,1774713918.017,66942.23000000
19,1774713919.405,66946.76000000
20,1774713920.187,66946.75000000
21,1774713921.070,66946.75000000
22,1774713922.075,66952.41000000
23,1774713923.006,66952.40000000
24,1774713924.133,66954.90000000
25,1774713925.059,67020.35000000
26,1774713926.063,67024.00000000
27,1774713927.064,67024.00000000
28,1774713928.231,67023.99000000
29,1774713929.265,67024.00000000
30,1774713930.022,67016.62000000
31,1774713931.197,67016.62000000
32,1774713932.018,67016.63000000
34,1774713934.049,67016.63000000
35,1774713935.066,67016.63000000
36,1774713936.014,67023.32000000
37,1774713937.190,67030.90000000
38,1774713938.189,67030.90000000
39,1774713939.205,67030.90000000
40,1774713940.677,67030.90000000
41,1774713941.233,67030.89000000
42,1774713942.419,67018.61000000
44,1774713944.305,67018.62000000
45,1774713945.328,67018.62000000
46,1774713946.063,67018.61000000
47,1774713947.187,67018.29000000
48,1774713948.019,67018.29000000
49,1774713949.118,67018.28000000
50,1774713950.749,67018.28000000
51,1774713951.376,67018.28000000
52,1774713952.393,67018.28000000
53,1774713953.316,67018.28000000
55,1774713955.071,67018.29000000
56,1774713956.864,67016.44000000
57,1774713957.113,67016.45000000
58,1774713958.232,67016.45000000
59,1774713959.255,67016.45000000
60,1774713960.279,67016.44000000
61,1774713961.213,67016.45000000
63,1774713963.023,67016.45000000
64,1774713964.170,67016.45000000
65,1774713965.715,67016.45000000
66,1774713966.433,67016.45000000
67,1774713967.432,67027.56000000
68,1774713968.064,67024.62000000
69,1774713969.069,67024.61000000
70,1774713970.440,67018.59000000
71,1774713971.526,67018.60000000
72,1774713972.777,67018.60000000
73,1774713973.150,67018.60000000
74,1774713974.364,67018.60000000
75,1774713975.230,67018.59000000
77,1774713977.088,67018.59000000
78,1774713978.381,67018.60000000
79,1774713979.223,67018.59000000
80,1774713980.324,67018.60000000
81,1774713981.531,67018.59000000
82,1774713982.046,67018.59000000
83,1774713983.385,67018.59000000
84,1774713984.036,67018.59000000
85,1774713985.163,67018.60000000
86,1774713986.290,67018.59000000
87,1774713987.519,67008.01000000
88,1774713988.022,67008.00000000
89,1774713989.036,67008.01000000
91,1774713991.016,67008.00000000
92,1774713992.126,67008.01000000
93,1774713993.097,67008.00000000
94,1774713994.483,67008.01000000
95,1774713995.300,67008.00000000
97,1774713997.029,67008.01000000
98,1774713998.127,67008.00000000
99,1774713999.089,67008.01000000
